file,domains_detected,class,target_action
"src/components/admin/FeaturedManagement.tsx","packages|travels","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/components/admin/LocationsManagement.tsx","shop","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/admin/ManasikManagement.tsx","prayer|settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/admin/NavigationManager.tsx","settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/admin/PackingTemplatesManagement.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/admin/PagesManagement.tsx","pages|settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/admin/QuranManagement.tsx","quran","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/admin/SellerManagement.tsx","users|whatsapp|shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/admin/ShopProductsManagement.tsx","shop|pages","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/admin/UsersManagement.tsx","users|settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/admin/WebsiteTemplatesManagement.tsx","whatsapp|reviews","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/agent/AgentCreditsManager.tsx","packages|settings","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/components/agent/AgentMembershipCard.tsx","settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/agent/AgentWebsiteManager.tsx","analytics|settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/agent/FeaturedPackageManager.tsx","packages","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/components/agent/HajiManagement.tsx","users|documents","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/agent/PackageQuotaDetail.tsx","departures|users","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/components/akun/AkunView.tsx","bookings|payments|users|shop|prayer|settings","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/components/akun/ProfileDetailForm.tsx","users","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/common/DocumentUpload.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/common/GlobalSearch.tsx","packages|shop|prayer","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/components/common/ImageUpload.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/common/MultiImageUpload.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/home/PromoBanner.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/packing/PackingListGenerator.tsx","whatsapp","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/premium/PremiumPaymentModal.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/premium/PremiumUpgradeModal.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/components/recommendation/AIRecommendationWizard.tsx","packages","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/components/seller/SellerOrderActionDialog.tsx","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/seller/SellerSettingsTab.tsx","whatsapp|shop|settings","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/shop/CheckoutView.tsx","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/shop/OrderHistoryView.tsx","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/shop/PaymentUploadDialog.tsx","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/shop/RelatedProducts.tsx","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/shop/ShopChatView.tsx","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/components/shop/WishlistView.tsx","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/contexts/AuthContext.tsx","shop","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useAchievements.ts","quran","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useAdminData.ts","memberships|travels|users|settings","core-candidate","Migrate to Core management/marketplace/booking/manifest/analytics endpoints"
"src/hooks/useAgentCredits.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useAgentMembership.ts","packages|memberships|analytics","core-candidate","Migrate to Core management/marketplace/booking/manifest/analytics endpoints"
"src/hooks/useAgentNotifications.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useAuth.ts","shop","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useBookings.ts","bookings|payments|agents|whatsapp","core-candidate","Migrate to Core management/marketplace/booking/manifest/analytics endpoints"
"src/hooks/useCancellationRequests.ts","bookings","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/hooks/useChat.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useChatNotifications.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useChecklist.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useDepartureAuditLog.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useDepartureNotifications.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useDeparturesRealtime.ts","departures|packages","core-candidate","Migrate to Core management/marketplace/booking/manifest/analytics endpoints"
"src/hooks/useDzikirTracking.ts","","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/useFeaturedPackages.ts","departures|packages|travels|settings","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/hooks/useFeedback.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useFreeTrial.ts","subscriptions","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/hooks/useGeofencing.ts","users","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useGroupTracking.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useHaji.ts","packages|agents|documents","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/hooks/useIbadahHabits.ts","","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/useImportantLocations.ts","shop","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useInquiries.ts","departures|packages|travels|agents","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/hooks/useItinerary.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useJournals.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useJourneyProgress.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
